,Unnamed: 0,review_text,title
12,12,"Do you REALLY think this was a better film than the Godfather? The Good, the Bad and the Ugly? The Seven Samurai, Pulp Fiction? OK, the Joker was a stand out performance, and the rest were good, but was this really the best film of all time? Can't see how that happened, and in 30 years this will sink to the middle of the pile where it should be.You want an examination of good and evil and the duality of man? Watch the King of New York. It's a better film than this. I'm not saying it's not worth seeing, but please, this is NOT the best film of all time.....This may be the best Batman film we've seen, but frankly I enjoyed Iron Man more. The action was good, the story reasonable, and there were some good supporting acts, but the whole experience doesn't move you like the Shawshank redemption, it wasn't a seismic shift in film-making like Pulp Fiction or the Godfather. The direction - better than Sergio Leone? The film hasn't been hyped that much, so where is this coming from?",The Dark Knight
13,13,"Well, this film is the most overrated movie I can remember but that doesn't mean it sucks at all. It's well made, with great shots and good acting (at least by Morgan Freeman, Michael Caine, and Heath Ledger). The action scenes are filmed more coherently than Batman Begins and that pencil trick was awesome.Still, there are too many ridiculous scenes (like flying out of a window with a cable attached to a plane and cell phones turning into radar machines) and completely unnecessary plot lines. Do I really care if Commissioner Gordon plays dead for half the film and his wife gets mad at him or some Chinese guy is hording the criminal's cash? No. Give us more confrontation between the hero and villain. Lastly, the dark themes this film deals with are taken a little too seriously for a movie about a superhero of sorts. He wears a cape and a mask and fights crime as a symbol... don't try and get me emotionally involved in any THEME greater than that. Develop the characters and make me care about them. The animated ""Batman and the Mask of the Phantasm"" did a better job with that.Whatev, i've rambled long enough. It's still a very enjoyable movie and if I see it again i'll probably like it more but there's no way this deserves all the praise it gets. I'd really give it a 6.5 out of ten but we can't do .5s and this definitely does not belong in the top movies of all time. Too bad because it might be worthy of a 7 or 8 had it not been hyped up like it was the gift of Zeus.",The Dark Knight
14,14,"Christopher Nolan's second bundle of joy ""The Dark Knight"" EXCEEDED all  of my expectations!!! With the success of 2005's reboot of the Batman  franchise, they took what was already established and expanded it,  amped it up, and gave a deeper, darker and brooding story that is more  gripping and the suspense is likely to catch you of guard several times  throughout. Christian Bale delves more deeper into Batman, sworn to  fight evil and injustice, though also quite reluctant and uncertain if  his crusade can ever end and cleanse his inner turmoil from his  fractured soul due to the murder of his beloved parents. But with the  help of his trusted butler/ally Alfred (played superbly by Michael  Cane) grounds him, gives him moral support, and keeps him in check. But  the real star of the show is Heath Ledger as Batman's most deadly  enemy, The Joker. I can HONESTLY tell you that: as good as Jack  Nicholson was in Batman'89 he is CHILD'S PLAY compared to this Joker.  He is sadistic, psychotic, and downright SCARIER and PSYCHOLOGICALLY  disturbing than the previous incarnation of The Clown Prince of Crime  and Ledger gives it his all to do him justice. Along with the original  cast comes some fresh faces such as Aaron Eckhart, Maggie Gyllenhaal  and more. I must say though I liked Katie Holmes, Gyllenhaal gives a  much better performance and is a far cry from the ""damsel-in-distress""  stereotype (though there's a little of it, THANKFULLY) that's common in  films. Bale and Gyllenhall have MUCH better chemistry this time around  more so than Holmes. Even better, the fight sequences are vastly  improved and feature more brutal and bone crushing combat than ""Begins""  in addition to new technology at Batman's disposal.  Also worth mentioning is screenwriter Jonathan Nolan, who gives the  film an added frosting to an already delicious cake.  Simply put, The Dark Knight is totally more bad ass than ""Begins."" The  action is great, and the plot is more deeper and engrossing. I applaud  Christopher Nolan, Christian Bale, and especially Heath Ledger (who  sadly passed away earlier this year) and all those aboard for believing  in Mr. Nolan's talents for this second installment. Although some may  feel a bit of melancholy over Ledger's death, but as a final note I  will say this sincerely from my heart: Remember Heath Ledger and honor  him in your minds and hearts not only for his performances, but as a  human being and father to his daughter Matilda  Ledger. May we issue him best wishes for his family and friends and his  daughter for years to come. Remember . . . Honor him not only for this  role and past roles, but as an incredible individual and talented  actor.  Rest in peace. Heath Ledger: 4/4/1979-1/22/2008.",The Dark Knight
15,15,"I saw the dark knight about three years ago when I was in the 8th grade. And I was blown away at how beautifully done it was, the camera work, the acting, the story, it all took me by surprise. It is to this day one of the best movies I have ever seen or will see. No other movie can impact you in such an intense way than The Dark Knight. It is a movie worth seeing due to the fact that the workers put so much time and effort into this one film and they did not want to waste money putting up garbage. So Christopher Nolan, thank you for not wasting our time, instead earning our time with this film. To this day I still am anxious to see the movie at home. I recommend it to anyone who likes action movies in general. To anyone who doesn't, don't waste your time write bad reviews about this film.",The Dark Knight
16,16,"Although I don't think it is the fourth best movie ever made, as it is rated according to IMDb, I do think it stands head and shoulders above its super-hero peers, mainly because it is NOT a superhero movie. Batman is a mere mortal with lots of time to train himself physically and money to design the nifty gadgets he uses.Everybody on earth has seen this film, so no use regurgitating the plot. I think Heath Ledger's rendition of The Joker is a masterpiece. Every time he leaves the screen I keep waiting for him to come back. Ledger should have won the best actor Oscar rather than supporting actor, because this is really a two leading man film - Bale as Batman and Ledger as The Joker. I always liked Jack Nicholson's rendition of the Joker in the 1989 film directed by Tim Burton, but Ledger just blows Nicholson's performance away. Maybe it is because Nicholson's Joker had a past and an explanation for his behavior, maybe it is because, after all, Nicholson's Joker just seems to be the wild side of the real Jack Nicholson where Heath Ledger never steps out of character for the entire film. Ledger's Joker is like the devil decides to become incarnate, but unlike Ray Milland's devil in ""Alias Nick Beal"" shows his true self - somebody who wants to break the spirits of people, to turn them on one another, to wantonly destroy property, people, whatever. That's reinforced when the police can find no name, no past, no prints, no DNA, not even a label in his clothes when they arrest him. His past is a great big question mark. I like Michael Caine's Alfred - it's good to have someone with relevant past combat and guerrilla experience be a wise father figure to Wayne in this role rather than just a kindly museum piece. Likewise, Morgan Freeman is pitch perfect as Lucius and Wayne's version of Q - somebody who invents his gadgets and runs his business since this really is not where Wayne's mind is, Freeman gives the performance the perfect balance of humor, business acumen, and conscience. And finally I like the fact that Rachel, Bruce Wayne's love interest, is not played by someone who is some unrealistic 10.5/10. She's a cute girl, but her attributes lie in her mind and her heart as well.The negatives - I think Harvey's transformation into Two Face is a little too pat. I don't know why Batman has a totally different voice from Bruce Wayne. Is he doing that on purpose? And I think I found one editing error. Gordon in the end talks about how hard it will be to cover up Harvey/ Two Face's murders including ""two cops"". Harvey let crooked cop Ramirez live and just knocked her out. But if she had lived then Gordon and Batman's plan to cover up Harvey's crimes would never have worked because she would have known what happened. So which scene was wrongly included/scripted? I'd recommend it as one of the better films made since the turn of the century that was also a blockbuster.",The Dark Knight
17,17,"I used to leave a theatre after seeing a highly anticipated movie, specifically a sequel, and be so revved up about what I saw that I would declare that movie to be the best of a series. After each of the prequel ""Star Wars"" films, I rated that one the best, as good as any of the originals...for a time, until my opinion balanced out and I had a more well-rounded take. For that reason, I steer away from that mindset, and did for ""Dark Knight"".Though my opinion is solidifying already after having seen a Warner Bros. screening last night, ""Dark Knight"" ably stands on its own with or without ""Batman Begins"". At a two and a half hour runtime, it's definitely an epic of a movie, but one that never runs out of gas. A delightful addition to this experience was a healthy amount of IMAX footage, which significantly adds to the feel of being on a personal, and gruesome, tour of Gotham City.Christian Bale plays such a well rounded Batman and Bruce Wayne, qualities that none of those who have donned the cowl before him have pulled off. I still have to remember that Bale is British since he speaks with such a spot on American accent. Bale has a particular slurring lisp that serves him quite well, charmingly for Bruce Wayne and threateningly for Batman.Countering him is the late Heath Ledger, who plays such a scary and creepy Joker that I found it impossible to NOT have chills half the time I saw him on screen. What really separates this brand of Joker from Jack Nicholson's portrayal is true unpredictability. It's obvious that, to be a good guy and think like the Joker, it really takes a toll, and it sure isn't easy. How exactly does one take him down when he's woven his harebrained plot around multiple hostages, explosives, or disappearing parlor tricks?Initially, I was uneasy about how the character of Harvey Dent would be handled. In my mind, there was really only one faithful portrayal of him, and that could be found in the ""Batman"" animated series of the early 90s. As well as Tommy Lee Jones COULD have handled him in ""Batman Forever"", he certainly did not, though it still was a highlight of that movie. Aaron Eckhart ably assumes the mantle here, delivering a performance out of this world, easily on par with the Batman animated series.Be it known, this caped avenger stands for the good of Gotham City that the police force and its counterparts can't represent, the good that has no jurisdiction, no procedures...and no rules, save for one. I can only hope that we've seen just the prelude to the Dark Knight's upcoming legendary battles with the worst of Gotham City's dark underside.""The Dark Knight"" gets a solid 10 of 10 stars.",The Dark Knight
18,18,"I must say I was excited for this movie since the instant BATMAN BEGINS appeared on screen at the end of the first film. It was always going to be good, and sadly, it was always going to be over-hyped by the advertising warhorses.It is rare though, that a movie can surpass all the hype and pass all expectations on the film. Nolan (The Prestige, Begins) delivers on more than the Joker we remember from the 'Old Days' of Burton and Nicholson. Instead we're given a psychopathic sadist who pleasures from sheer anarchy.All the hailing of Ledger's performance are grounded. Watching it will make you feel a different chill down your spine than you'd remember from any other film. It's impossible, quite literally to relate to The Joker. He gets inside your head with his stories of how he got his scars, makes you laugh at his sick jokes, then makes you instantly wonder why you're laughing.If Ledger wasn't enough to horrify you - wait for Harvey Dent. Brilliantly portrayed by Aaron Eckhart as Gotham's 'fallen White Knight' and Batman's direct counterpart. His transformation will put Tommy Lee Jones' portrayal look like children's breakfast cartoons. Gyllenhaal had perfect chemistry with both Bale and Eckhart, Michael Caine and Morgan Freeman both work well as Batman's 'conscience' and of course, Gary Oldman as Lieutenant Gordon were all solid.There are some major differences between The Dark Knight and Begins. Firstly, the music is extremely disconcerted compared with the 'majestic but unfinished' tones of Begins - but it suits the film's tone: Anarchy in every sense. There was a more solid singular villain (compared with the many in Begins) - but there was also a lot more henchmen in TDK. The martial art direction was faster and more efficient - as mentioned in the film, learning through experience.I was disappointed at the role of Scarecrow in this film, it just felt like a loose thread and wasn't quite closed up or explained, and the ending, while it wasn't what I expected (others have said that it was predictable, but for me it wasn't) was solid and suited the film well.All in all, this is a film that is quite close, if it isn't already, a masterpiece. Nolan has a great thing going and unlike previous 'Superhero' adaptations (Spiderman and Fantastic Four for example), there isn't campiness creeping in. In face, if Batman Begins was 10/10, The Dark Knight deserves a 12. Quite simply, the best possible sequel that could've been given.If you watch this (which I implore that you do), you certainly won't regret it. One of the best movies of 2008 (I'll wait till Quantum of Solace comes out before I pass judgement) - but certainly a film worth getting excited for. If you don't like it, then that's also fine - but keep in mind that you probably thought Meet The Spartans was a good movie, so the rest of us won't take it to heart.Stunning in every aspect, and exceeds all hype and expectation... Can't wait to watch it again, or for the Blu-Ray!",The Dark Knight
19,19,"*level of enjoyment*
#10
top tier - from start to finish The Dark Knight has you on the edge of your seat, enjoying every minute*likelihood to recommend*
#10
highest recommendation - if you haven't seen it, watch it, it is a masterpiece, the downside? likely to put all future Batman features to shame*quality of acting*
#9
excellent - Bale is the gold standard Batman, gruff, tough, aloof, positively fueled by the tragedies of his dark past. Ledger is the nightmare villain, twisted, evil, unapologetic, irrational, completely void of a moral compass*quality of writing*
#10
perfection - one of those movies you wish you could have a memory edit in order to watch again and again*quality of intangibles*
#8
excellent - visual is on point, dark gloomy Gotham, perfect setting for a hero to operate and succeed from the shadows
very good - music and sound puts viewers in the mood and anticipating the next intense scene",The Dark Knight
20,20,"I think the big question...or the question everyone actually cares about is this: Is Christopher Nolan's follow up to the critically acclaimed 2005 film ""Batman Begins,"" The Dark Knight, as good as everyone is saying? Quite simply, yes, yes it is. There is no doubt about it, one of the most anticipated movies of the 21st century duly deserves every amount of praise lavished onto it. This is no ordinary superhero movie, this is a character and dialogue driven piece, not as action orientated as you might expect.I will not go into plot details, because there is a lot of it. However, a basic one sentence summary is: Batman now has to face his most cunning and psychotic enemy, someone with no real motives...The Joker. Now that that is out of the way, I will start off with the actors (and boy, is there a lot to talk about). Christian Bale has done a tremendous job as our beloved Caped Crusader, with him already blowing everyone else out of water with ""Batman Begins."" Bruce Wayne has a flawed personality that hangs on the balance between righteousness and criminal. His perception of justice causes an emotional and personal shift, whether he is a wealthy businessman who fights crime in a gadget-riddled suit or just a normal man who is sick of all the scum in Gotham City and decides to give the law-breakers a dose of their own medicine. Because of this, and Bale's tremendous acting, Bruce Wayne is justified, and we emphasise with Bale's flawed hero more than any of the other actors. If there ever was an excellent Batman, this is it. The theme of right and wrong is played well with his character here.Of course, I am sure you all want know if Heath Ledger was that good. And I can safely say that he most definitely was. Ledger's Joker is not only the best, but is now the greatest superhero film villain ever. His performance is truly terrifying, chilling, brilliant; any synonyms of the previous adjectives. Every scene he is in is stolen. The Joker truly is Batman's worst villain; cunning and psychotic, nothing quite matches his laugh and sinister makeup. If Ledger nabs the Oscar for Best Actor, I honestly will not be surprised. It is a true tragedy to see such a talented actor fall at such a young age...All the other actors cannot be forgotten, though. Aaron Eckhart has definitely proved himself previously (""Thankyou for Smoking"") as someone to watch out for. Here, as Harvey Dent (and later Two Face) he is very powerful. All he wants is justice; to bring down every single criminal. Eckhart is the definitive Two Face. Maggie Gyllenhaal as Wayne and Dent's love interest, Rachel Dawes is much better than Katie Holmes. Gyllenhaal's performance has substance, I really cared for her and her future and she was terrific in every scene. Michael Caine can do no wrong, and as Alfred Pennyworth he provides some comical and emotional scenes. Morgan Freeman as Lucius Fox, although a limited role, does inject some sly humour and much needed morals into the story. Finally, Gary Oldman's Lt. James Gordon is riveting. He at least needs a Best Supporting Actor nomination for his performance as another crime-fighting hero who faces some challenging situations.Wally Pfister's cinematography is simply stunning. Gotham has never looked so good, so big and deep. His wide shots purvey a dirty aura and contribute to the feel of the film. Without it, it may not have been the same. Another Oscar worthy portion, THE MUSIC! With Hans Zimmer AND James Newton Howard at the helm, how could it go wrong? The score sets the mood in every scene, giving an epic and thrilling tone. During the action sequences it really ups the adrenaline. And on the topic of action, The Dark Knight succeeds in having the best fight sequences and car chases in a comic book adaptation yet. With no obvious or over-use of CGI, the explosions and accidents are the real deal. Thrilling, edge of your seat and violent, this is brutally awesome stuff.Nevertheless, none of this would be possible without Christopher Nolan, the man behind it all. Pairing up with the writer (and brother) Jonathon Nolan, the darkest Batman movie yet is the best, and the best so far this year. This does not feel like a comic book film, the dialogue and situations feel so realistic. And, it IS the script that drives this film. The dialogue is very, very well written and is the centre of the conflict and the movie.It may be bold to say this, but this is the best superhero film of all time. There are others that are magnificent (""Superman"" and ""X-Men"" are two examples) but this is the most complex, the most dark and the most spectacular and epic of them all. See it for Bale, for Ledger, for the music, the action and for Nolan's flawless direction.5/5 and the best film of 2008 so far!!",The Dark Knight
21,21,The dark knight is the best movie I have ever seen in my life,The Dark Knight
22,22,"This film is not the masterpiece that IMDb seems to assign it as. No doubt it's good, especially the tension and the performance of Heath Ledger, but I never saw it as amazing. It's far too long and there are plot holes large enough to drive the school bus through.",The Dark Knight
23,23,"I don't think that in my quarter century of living I've ever felt more disconnected from the pop-culture at large than after seeing this movie. With all the hype and uniform praise I thought beforehand that this is at least a solid piece of cinematic craft, maybe embellished slightly by Heath Ledger's unexpected death.Unfortunately, this movie is rock solid proof that sometimes mass delusion can strike an entire society at one time. There is absolutely no way that this film can be regarded not just as a masterpiece, but even as half-way decent.Let's get to the point. First - the plot. It's just unconvincing as a whole. Batman is basically a side character with little to do as he takes backseat on the Joker train. He whines incessantly about how no one needs him and how he needs to hang up his cape. Do it already! His troubled relationship with Rachel Dawes has zero chemistry and it's hard to care about the outcome. The idea of Joker being an anarchist, goalless and malevolent force sounds good on paper, but it translates to aimlessness on the screen. Joker shows up out of nowhere seemingly with no one backing him and then... snap! It seems like the whole world is at his service. Not only he has no trouble hijacking a school bus (and then blending into a line of school buses after driving out of a half collapsed bank), hacking into the public TV feed or rigging an entire hospital with explosives; he apparently does it with such ease that the creators didn't feel the need to reveal a shred of information about how he did it. Many events in the movie make absolutely no sense whatsoever. For example - what was the purpose of Lt. Gordon faking his death? And why did they make a point of showing the scene where his family is informed of the death - was that just to get the audience to buy into it as well? That's just dumb and a waste of time. Why did Harvey Dent become evil all of a sudden? Sure he was badly burned, but he had to know the risks going into this business and he had a steely resolve just minutes prior. There are many other plot issues, but it's pointless listing them all. They are there and easy to spot.The acting in the movie is a-OK, but most of the actors just don't have any good lines as their characters are irrelevant puppets. Heath Ledger is good for sure, but his take on the character gets tedious after a while - mostly from overexposure. Maggie Gyllenhaal is a good actress, but she's just so wrong for the role. She's a nice-girl-next-door type and as superficial as it sounds, it's hard to believe that she would have two hotshots like Harvey Dent and Bruce Wayne chasing after her. Christian Bale has zero material to work with and they've turned Morgan Freeman into a moralizing nerd. Gary Oldman, Aaron Eckhart and especially Michael Caine do a decent job considering the script they were given to work with.The screenplay is atrocious, incongruent and messy. It's like the movie was cut-up into a thousand pieces of varying length, reshuffled and then strung together. There is no natural progression of events and subsequent scenes frequently befuddle. It takes a couple of minutes to figure out what the hell is going on or why should we care. It's just poorly done.For all the car chases, fight scenes, and giant explosions, the movie is just unforgivably boring. It's a combination stemming from a poor script, naive (or barely existent) plot, flat characters (that can't be remotely identified with much less loved or hated), and a general lack of good sense. There is also an annoying feeling that the creators had a rather low opinion of the viewers intelligence or maybe they just rushed the movie and had to come up with a lot of material in a little time, hence the low quality.Before I end this overlong diatribe, let me just mention three scenes that I absolutely cannot get over with in terms of their pointlessness and stupidity. 1. Batman is riding his wicked-cool motorcycle approaching an aftermath of a multi vehicle crash and accelerates aiming it straight at the Joker. What he is trying to accomplish is never explained. One thing certain is that at the last moment he veers right, barely avoiding the villain, and drives his bike without touching the brakes, straight into a wall. I mean he drives it into a wall (or overturned truck, can't remember) full speed like a blind man. Had he even chosen to hit the Joker, how the hell did he expect to stop? 2. This one actually occurs a couple of times at least. Batman leaps out of a 20th story window and falls onto the ground unharmed. Unharmed! He didn't have a parachute, a bungee cord, and he didn't even spread his cape on the way down. He just hit full blast and walked away. And on one occasion his squeeze Ms Dawes fell with him and experienced a similarly puzzling lack of after-effects. Filmmakers, needless to say, didn't find it prudent to even try to provide some explanation.3. Joker enters the hospital in a nurse uniform. That should present a logistical problem by itself, but OK. However, not only he seems to move around the hospital freely, he also does it still wearing his face paint. I mean the lower half his face is covered by a protective mask, but the rest is clearly visible. What's even funnier is that Harvey Dent looks at Joker straight in the eyes and the face paint doesn't give him away until he takes of the mask. Is this a cartoon?",The Dark Knight
